quarter,year,key_metric
Q1,2025,"{'metric': 'Q1 Revenue', 'value': '$26B', 'change': '+262% YoY, +18% QoQ'}"
Q1,2025,"{'metric': 'Data Center Revenue', 'value': '$22.6B', 'change': '+427% YoY, +23% QoQ'}"
Q1,2025,"{'metric': 'Q2 Guidance', 'value': '$28B', 'change': '+12% sequential growth expected'}"
Q1,2025,"{'metric': 'Gross Margin', 'value': '78.9% non-GAAP', 'change': 'Sequential expansion'}"
Q1,2025,"{'metric': 'Inference Revenue Mix', 'value': '~40%', 'change': 'Of trailing four quarters Data Center revenue'}"
Q1,2025,"{'metric': 'Cloud Provider ROI', 'value': '$5 return', 'change': 'For every $1 spent on NVIDIA infrastructure over 4 years'}"
Q2,2025,"{'metric': 'Q2 Revenue', 'value': '$30B', 'change': '+122% YoY, +15% QoQ'}"
Q2,2025,"{'metric': 'Data Center Revenue', 'value': '$26.3B', 'change': '+154% YoY, +16% QoQ'}"
Q2,2025,"{'metric': 'Q3 Revenue Guidance', 'value': '$32.5B', 'change': '+8.3% QoQ implied'}"
Q2,2025,"{'metric': 'Gross Margin', 'value': '75.7% non-GAAP', 'change': 'Down sequentially'}"
Q2,2025,"{'metric': 'Gaming Revenue', 'value': '$2.88B', 'change': '+16% YoY, +9% QoQ'}"
Q2,2025,"{'metric': 'Blackwell Q4 Revenue', 'value': 'Several billion dollars', 'change': 'New product'}"
Q2,2025,"{'metric': 'Software Run Rate', 'value': '$2B annually', 'change': 'Approaching by year-end'}"
Q2,2025,"{'metric': 'Share Repurchase Authorization', 'value': '$50B', 'change': 'New authorization'}"
Q3,2025,"{'metric': 'Q3 Revenue', 'value': '$35.1B', 'change': '+94% YoY, +17% QoQ'}"
Q3,2025,"{'metric': 'Data Center Revenue', 'value': '$30.8B', 'change': '+112% YoY, +17% QoQ'}"
Q3,2025,"{'metric': 'Q4 Revenue Guidance', 'value': '$37.5B', 'change': '+7% QoQ'}"
Q3,2025,"{'metric': 'GAAP Gross Margin', 'value': '74.6%', 'change': 'Down sequentially'}"
Q3,2025,"{'metric': 'H200 Sales', 'value': 'Double-digit billions', 'change': 'Fastest product ramp in company history'}"
Q3,2025,"{'metric': 'Blackwell Samples Shipped', 'value': '13,000 GPUs', 'change': 'Q3 delivery'}"
Q4,2025,"{'metric': 'Q4 Revenue', 'value': '$39.3B', 'change': '+78% YoY, +12% QoQ'}"
Q4,2025,"{'metric': 'Data Center Revenue', 'value': '$35.6B', 'change': '+93% YoY, +16% QoQ'}"
Q4,2025,"{'metric': 'Blackwell Revenue', 'value': '$11B', 'change': 'First quarter of sales'}"
Q4,2025,"{'metric': 'Q1 2026 Guidance', 'value': '$43B', 'change': '±2%'}"
Q4,2025,"{'metric': 'Gross Margin Q4', 'value': '73.5%', 'change': 'Expected low 70s during Blackwell ramp'}"
Q4,2025,"{'metric': 'Full Year FY2025', 'value': '$130.5B', 'change': '+114% YoY'}"
